label,,text,label,title
残念,9494,"『うさぎドロップ』★☆

原作にないわけわからんあの妄想はいらない。ダイキチはそんなやつじゃない。コウキのママのキャラ変更は映画的にうまく脚色されてたと思うが、結局物語はだいぶ変わってしまい脱走の脚色は失敗に終わる・・・。",残念,うさぎドロップ
残念,9830,『SPACE BATTLESHIP ヤマト』いろいろと思うことはあるけど、ギバちゃんは上司役が似合いますね ってかアナライザーが1000機くらいあればガミラス制圧できるんじゃ・・・・#eiga#movie,残念,SPACE BATTLESHIP ヤマト
残念,7559,『G.I.ジョー　バック2リベンジ』見終わった。なんやこれ…とりあえず目が痛い（苦笑）,残念,G.I.ジョー バック2リベンジ
残念,5730,"『96時間　レクイエム』 15点
カット割りが多すぎて何も見えない…
特にチェイスシーンが酷い…
大好きな96時間シリーズの最後がコレじゃ残念。",残念,96時間　レクイエム
残念,6553,『17歳』iTunes鑑賞。退屈だった。こういうケースも有るよなぁとは思うけど、だからなんだって思う。度々流れる劇中歌があざとくてうざい。フランス映画らしいわざと小難しく描いた作品。問題作を狙ったのか。,残念,17歳
残念,4984,『HiGH&LOW THE RED RAIN』うーん！前回のオールスターキャストからやとちょっと三人やとスクリーンに力がないなぁ！あの人数のチャカに素手とかそれに長兄が一番強いはずやのにい？それにしてもまだ続く？#16映予,残念,HiGH&LOW THE RED RAIN
残念,9429,『あぜ道のダンディ』　説明台詞が目立ち、空回りのギャグは救いようがない。本作はオヤジを貶す事で笑いを取ろうとしていて、軸がブレている。凡庸なショットにため息。溝口健二曰く、絶叫は芝居ではない。それが本作では……ね。,残念,あぜ道のダンディ
残念,8129,『4：44 地球最期の日』地球滅亡という一大事を極私的な視点から描いている点は「メランコリア」に似ているが、「メランコリア」の極限状態の中の壮大かつ芸術的な映像美に比べるとあまりにもショボすぎる。「メランコリア」の素晴らしさを再認識した。,残念,4:44 地球最期の日
残念,7056,『MONSTERZ モンスターズ』もうひと頑張り！,残念,MONSTERZ モンスターズ
残念,10147,『13日の金曜日』まあ元のオリジナル作がたいしたことない普通のスラッシャー映画だったから、それをリメイクって云うよりリブートしてもたいして特徴のない映画にしかなりませんでした。マイケル・ベイ制作のホラーにしては珍しく黒星がついたな。,残念,13日の金曜日
残念,7558,『G.I.ジョー　バック2リベンジ』あれ？？(笑)前作が意外と面白かったから観たけど、今回意外と面白くない、というかつまんない(笑)ビョンホンの肉体美アクションシーンは笑ったけどw,残念,G.I.ジョー バック2リベンジ
残念,8135,『4：44 地球最期の日』本編前のトークショーがゴミ以下。丸岡さんと結婚できた喜びはわかんでもないが、お前の結婚話とかどうでもいいわ。相手のこれまたどうでもいい都市伝説といい関係ねーんだよな。っていうか本当に映画コメンテーターなんか？,残念,4:44 地球最期の日
残念,5363,『PERSONA3 THE MOVIE#4Winter of Rebirth』１～３作目に比べるとストーリーがずっと暗い。RPGでいうラスボス戦に入るまでの展開は遅いし、退屈してしまいました。締めも強引な印象だったなァ。,残念,PERSONA3 THE MOVIE #4 Winter of Rebirth
